"gender","1990-1994","col1","1995-1999","col2","2000-2004","col3","2005-2009","col4","2010-2014","col5","2015-2019","col6"
"Men","72.6 ± (2.8)","(66.0, 85.0)","73.5 ± (2.7)","(66.4, 85.0)","74.3 ± (2.8)","(67.2, 85.0)","75.1 ± (2.9)","(67.1, 85.0)","75.6 ± (2.9)","(66.6, 85.0)","75.4 ± (3.0)","(66.6, 85.0)"
"Women","79.5 ± (1.7)","(74.7, 85.0)","79.6 ± (1.8)","(75.0, 86.3)","79.6 ± (2.0)","(74.0, 85.0)","80.1 ± (2.1)","(73.4, 87.2)","80.5 ± (2.3)","(71.7, 87.7)","80.4 ± (2.4)","(71.9, 88.9)"
